SL. No.,Category,State/UT,Incidence of Total Cognizable Crimes,Percentage Contribution to All-India Total,Estimated Mid-Year Population (in Lakhs),Volume of Total Cognizable Crimes,Rank of* Criminality
1,State,Andhra Pradesh,101676,6.1,667.7,152.3,23
2,State,Arunachal Pradesh,1861,0.1,8.7,214.6,15
3,State,Assam,35144,2.1,224.7,156.4,22
4,State,Bihar,119932,7.1,869.2,138,25
5,State,Goa,3805,0.2,11.7,324.4,4
6,State,Gujarat,124472,7.4,413.8,300.8,6
7,State,Haryana,28584,1.7,164.4,173.9,20
8,State,Himachal Pradesh,9209,0.5,51.4,179.3,19
9,State,Jammu & Kashmir,15545,0.9,77.8,199.7,17
10,State,Karnataka,104489,6.2,450.3,232,14
11,State,Kerala,74103,4.4,291.2,254.5,9
12,State,Madhya Pradesh,218431,13,666.9,327.5,3
13,State,Maharashtra,192295,11.5,793.3,242.4,12
14,State,Manipur,2100,0.1,18.4,114.1,28
15,State,Meghalaya,1726,0.1,17.8,97.1,31
16,State,Mizoram,1781,0.1,6.9,257.7,7
17,State,Nagaland,1641,0.1,12.3,133,26
18,State,Orissa,52081,3.1,317.1,164.3,21
19,State,Punjab,16081,1,203,79.2,32
20,State,Rajasthan,113617,6.8,441.8,257.2,8
21,State,Sikkim,469,0,4.1,115.8,27
22,State,Tamil Nadu,133284,7.9,558.8,238.5,13
23,State,Tripura,5594,0.3,27.7,201.7,16
24,State,Uttar Pradesh,208561,12.4,1397.2,149.3,24
25,State,West Bengal,69073,4.1,685.1,100.8,30
Total (States),State,Total (States),1635554,97.4,8381.3,195.1,NA
26,UT,A & N Islands,551,0,2.8,196.1,18
27,UT,Chandigarh,1629,0.1,6.5,252.2,10
28,UT,D & N Haveli,437,0,1.4,314.4,5
29,UT,Daman & Diu,257,0,1,249.5,11
30,UT,Delhi,34876,2.1,94.9,367.3,2
31,UT,Lakshadweep,54,0,0.5,103.8,29
32,UT,Pondicherry,5017,0.3,8,629.5,1
Total (UTs),UT,Total (UTs),42821,2.6,115.1,372,NA
Total (All-India),Total (All-India),Total (All-India),1678375,100,8496.4,197.5,NA
