Sl. No.,Place of Occurrence,Dacoity - Number,Dacoity - Value,Robbery - Number,Robbery - Value,Burglary - Number,Burglary - Value,Theft - Number,Theft - Value
1,Residential Premises,3451,2404.9,4390,1425.4,79615,12970.9,90109,18400.1
2,Highway,1064,1900.6,4757,2376.3,313,43.7,8803,2644.1
3,River & Sea,8,2.8,24,3.6,4,0.2,381,75.3
4,Railways,119,93.1,398,130,187,31.4,15241,1950.2
5,Banks,55,135.5,62,89.8,277,91.2,175,66
6,Commercial Establishment,403,701,1055,594.2,12332,3405.5,23438,8216.1
7,Other Places,1979,1579.7,10646,3810.7,18568,3090.5,133760,29573.5
8,Total,7079,6817.4,21332,8430,111296,19633.4,271907,60925.4
