Category,States/ UTs,DG/Addl.DG/ IG/DIG - Sanctioned,DG/Addl.DG/ IG/DIG - Actual,SSP/SP/Addl.SP/ASP/ DY.SP - Sanctioned,SSP/SP/Addl.SP/ASP/ DY.SP - Actual,"Inspector, SI & A.S.I. - Sanctioned","Inspector, SI & A.S.I. - Actual",Officers below A.S.I. - Sanctioned,Officers below A.S.I. - Actual,Grand Total - Sanctioned,Grand Total - Actual
State,Andhra Pradesh,48,58,447,412,7396,6968,61802,57898,69693,65336
State,Arunachal Pradesh,5,4,63,35,512,495,2655,2632,3235,3166
State,Assam,34,34,295,269,5008,4958,24696,24121,30033,29382
State,Bihar,4,4,218,203,8754,7872,43868,36952,52844,45031
State,Chhattisgarh,5,4,123,95,1270,1281,10520,9529,11918,10909
State,Goa,3,3,26,23,316,232,2885,2816,3230,3074
State,Gujarat,61,55,271,259,9998,8645,42683,39788,53013,48747
State,Haryana,27,27,192,184,3677,3285,30861,23891,34757,27387
State,Himachal Pradesh,34,32,128,127,1254,1237,7405,7061,8821,8457
State,Jammu & Kashmir,35,35,329,329,4810,4810,35104,35104,40278,40278
State,Jharkhand,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
State,Karnataka,10,9,255,235,5556,4698,50205,44412,56026,49354
State,Kerala,23,23,342,317,3505,3487,32170,31839,36040,35666
State,Madhya Pradesh,79,79,887,800,11888,11292,57348,57075,70202,69246
State,Maharashtra,67,99,786,649,22941,19044,110353,98284,134147,118076
State,Manipur,10,10,98,93,1017,918,4126,4054,5251,5075
State,Meghalaya,13,10,74,42,1160,927,8122,4766,9369,5745
State,Mizoram,5,5,68,63,691,610,3063,2008,3827,2686
State,Nagaland,15,15,54,54,435,432,4508,4486,5012,4987
State,Orissa,39,37,280,273,5475,4946,23172,21345,28966,26601
State,Punjab,41,43,351,441,6089,5391,45757,45840,52238,51715
State,Rajasthan,44,36,595,503,7676,6306,49460,44960,57775,51805
State,Sikkim,10,11,44,51,277,269,1860,2445,2191,2776
State,Tamil Nadu,81,68,735,700,8955,7529,72825,61220,82596,69517
State,Tripura,15,14,221,142,1360,1100,8172,6874,9768,8130
State,Uttar Pradesh,127,127,1291,1126,13476,12291,118659,109506,133553,123050
State,Uttaranchal,10,9,116,77,666,561,8926,8884,9718,9531
State,West Bengal,89,89,443,404,15658,13559,50451,47527,66641,61579
State,Total (States),934,940,8732,7906,149820,133143,911656,870421,1071142,977306
Union Territory,A & N Islands,1,2,12,10,372,331,1753,1683,2138,2026
Union Territory,Chandigarh,2,2,13,15,450,489,2584,3496,3049,4002
Union Territory,D & N Haveli,0,0,2,2,14,14,124,122,140,138
Union Territory,Daman & Diu,0,0,3,3,20,19,198,213,221,235
Union Territory,Delhi,23,25,292,281,10327,9796,35933,35915,46575,46017
Union Territory,Lakshadweep,0,0,2,2,53,48,293,274,348,324
Union Territory,Pondicherry,1,1,18,18,279,100,1343,802,1641,921
Union Territory,Total (UTs),27,30,342,331,11515,10797,42228,42505,54112,53663
Total (All-India),Total (All-India),961,970,9074,8237,161335,143940,953884,912926,1125254,1030969
