Category,States/ UTs,Arrested & Sent to Courts,Sent to Home After Advice or Admonition,Released on Probation and Placed Under Care of - Parents / Guardians,Released on Probation and Placed Under Care of - Fit Instt.,Sent to Special Homes,Dealt With Fine,Acquitted or Otherwise Disposed of,Pending Disposal
State,Andhra Pradesh,1953,87,273,87,424,16,50,1016
State,Arunachal Pradesh,105,59,46,0,0,0,0,0
State,Assam,1155,471,228,190,228,7,6,25
State,Bihar,1469,7,163,0,52,0,4,1243
State,Chhattisgarh,2027,76,200,83,581,101,90,896
State,Goa,77,0,4,0,7,0,4,62
State,Gujarat,2878,177,630,127,140,84,167,1553
State,Haryana,1840,4,12,6,47,58,143,1570
State,Himachal Pradesh,145,24,18,0,1,0,0,102
State,Jammu & Kashmir,15,0,0,0,0,0,3,12
State,Jharkhand,509,72,72,62,173,14,71,45
State,Karnataka,617,153,99,6,109,2,1,247
State,Kerala,675,42,260,13,86,5,38,231
State,Madhya Pradesh,7350,1466,810,343,533,929,401,2868
State,Maharashtra,6836,959,2172,299,997,89,82,2238
State,Manipur,0,0,0,0,0,0,0,0
State,Meghalaya,106,3,14,2,16,0,23,48
State,Mizoram,91,0,12,0,57,19,3,0
State,Nagaland,0,0,0,0,0,0,0,0
State,Orissa,658,127,112,10,133,1,39,236
State,Punjab,129,5,0,0,2,2,3,117
State,Rajasthan,2124,334,415,21,550,38,91,675
State,Sikkim,94,6,9,8,28,8,12,23
State,Tamil Nadu,1721,213,633,69,109,118,122,457
State,Tripura,2,0,0,0,0,0,0,2
State,Uttar Pradesh,427,56,33,1,184,29,32,92
State,Uttarakhand,129,12,14,6,21,0,2,74
State,West Bengal,145,29,19,3,14,1,15,64
State,Total (States),33277,4382,6248,1336,4492,1521,1402,13896
Union Territory,A & N Islands,75,0,0,0,39,0,0,36
Union Territory,Chandigarh,118,9,14,0,13,6,1,75
Union Territory,D & N Haveli,11,0,0,0,0,0,0,11
Union Territory,Daman & Diu,14,0,0,0,1,0,0,13
Union Territory,Delhi,970,85,59,0,532,14,71,209
Union Territory,Lakshadweep,0,0,0,0,0,0,0,0
Union Territory,Puducherry,62,0,3,0,0,2,0,57
Union Territory,Total (UTs),1250,94,76,0,585,22,72,401
Total (All-India),Total (All-India),34527,4476,6324,1336,5077,1543,1474,14297
