Category (Col. 1),States/ UTs (Col. 2),Total No. of Cases for Trial Including Pending Cases from previous year (Col. 3),Cases Withdrawn by Govt. (Col. 4),No. of Cases (Col. 5) - Compounded or Withdrawn,No. of Cases in which Trials Completed (Col. 6) - Convicted,No. of Cases in which Trials Completed (Col. 7) - Acquitted or Discharged,No. of Cases in which Trials Completed (Col. 8) - Total = Col. {(6) + (7)),No. of Cases (Col. 9) - Pending Trial at the end of the year,Pendency Percentage (Col. 10),Percentage of Pendency to All India Total (Col. 11),Conviction Rate (Col. 12) = Col. ((6) / (8) × 100)
State,Andhra Pradesh,2956,0,86,127,716,843,2027,68.6,4.2,15.1
State,Arunachal Pradesh,80,0,0,0,0,0,80,100,0.2,0
State,Assam,290,0,0,18,53,71,219,75.5,0.5,25.4
State,Bihar,922,0,0,26,40,66,856,92.8,1.8,39.4
State,Chhattisgarh,3052,18,0,278,427,705,2347,76.9,4.8,39.4
State,Goa,175,0,0,11,28,39,136,77.7,0.3,28.2
State,Gujarat,4066,0,4,60,292,352,3710,91.2,7.6,17
State,Haryana,695,0,0,58,113,171,524,75.4,1.1,33.9
State,Himachal Pradesh,338,0,2,23,46,69,267,79,0.6,33.3
State,Jammu & Kashmir,158,0,0,5,7,12,146,92.4,0.3,41.7
State,Jharkhand,209,0,10,5,26,31,168,80.4,0.3,16.1
State,Karnataka,662,0,4,18,111,129,529,79.9,1.1,14
State,Kerala,1543,0,8,29,141,170,1365,88.5,2.8,17.1
State,Madhya Pradesh,12020,0,529,1073,1968,3041,8450,70.3,17.4,35.3
State,Maharashtra,12814,0,7,89,607,696,12111,94.5,25,12.8
State,Manipur,1,0,0,0,0,0,1,100,0,NA
State,Meghalaya,147,0,0,0,18,18,129,87.8,0.3,0
State,Mizoram,23,0,0,1,0,1,22,95.7,0,100
State,Nagaland,1,0,0,0,0,0,1,100,0,NA
State,Orissa,651,0,0,20,91,111,540,82.9,1.1,18
State,Punjab,693,0,2,67,106,173,518,74.7,1.1,38.7
State,Rajasthan,2312,0,4,91,167,258,2050,88.7,4.2,35.3
State,Sikkim,37,0,1,5,11,16,20,54.1,0,31.3
State,Tamil Nadu,907,0,0,115,153,268,639,70.5,1.3,42.9
State,Tripura,202,1,0,21,33,54,148,73.3,0.3,38.9
State,Uttar Pradesh,10617,0,8,1325,1086,2411,8198,77.2,16.9,55
State,Uttarakhand,190,0,0,32,28,60,130,68.4,0.3,53.3
State,West Bengal,663,0,37,13,70,83,543,81.9,1.1,15.7
State,Total (States),56424,19,702,3510,6338,9848,45874,81.3,94.6,35.6
Union Territory,A & N Islands,58,0,0,0,2,2,56,96.6,0.1,0
Union Territory,Chandigarh,88,0,0,13,17,30,58,65.9,0.1,43.3
Union Territory,D & N Haveli,30,0,0,1,2,3,27,90,0.1,33.3
Union Territory,Daman & Diu,7,0,0,0,1,1,6,85.7,0,0
Union Territory,Delhi,2987,0,0,206,357,563,2424,81.2,5,36.6
Union Territory,Lakshadweep,0,0,0,0,0,0,0,NA,0,NA
Union Territory,Puducherry,64,0,0,2,4,6,58,90.6,0.1,33.3
Union Territory,Total (UTs),3234,0,0,222,383,605,2629,81.3,5.4,36.7
Total (All-India),Total (All-India),59658,19,702,3732,6721,10453,48503,81.3,100,35.7
