S. No.,Category,State/UT,Total No. of Cases Reported,Sex-Wise / Age Group-Wise - Below 6 Years - M,Sex-Wise / Age Group-Wise - Below 6 Years - F,Sex-Wise / Age Group-Wise - 6 Years & Above - Below 12 Years - M,Sex-Wise / Age Group-Wise - 6 Years & Above - Below 12 Years - F,Sex-Wise / Age Group-Wise - 12 Years & Above – Below 16 Years - M,Sex-Wise / Age Group-Wise - 12 Years & Above – Below 16 Years - F,Sex-Wise / Age Group-Wise - 16 Years & Above – Below 18 Years - M,Sex-Wise / Age Group-Wise - 16 Years & Above – Below 18 Years - F,Sex-Wise / Age Group-Wise - 18 Years & Above – Below 30 Years - M,Sex-Wise / Age Group-Wise - 18 Years & Above – Below 30 Years - F,Sex-Wise / Age Group-Wise - 30 Years & Above – Below 45 Years - M,Sex-Wise / Age Group-Wise - 30 Years & Above – Below 45 Years - F,Sex-Wise / Age Group-Wise - 45 Years & Above – Below 60 Years - M,Sex-Wise / Age Group-Wise - 45 Years & Above – Below 60 Years - F,Sex-Wise / Age Group-Wise - 60 Years & Above - M,Sex-Wise / Age Group-Wise - 60 Years & Above - F,Total - M,Total - F,Grand Total
1,State,Andhra Pradesh,917,20,32,21,32,20,142,32,227,62,197,44,55,30,13,1,2,230,700,930
2,State,Arunachal Pradesh,175,29,24,6,9,3,39,0,30,18,27,13,7,0,0,0,0,69,136,205
3,State,Assam,5831,0,0,3,2,19,77,32,250,280,3093,408,1608,50,9,0,0,792,5039,5831
4,State,Bihar,7128,17,5,43,5,91,272,72,726,1096,3699,522,516,32,35,0,0,1873,5258,7131
5,State,Chhattisgarh,2083,31,37,102,96,364,515,166,579,63,124,10,25,2,5,0,0,738,1381,2119
6,State,Goa,112,4,1,5,4,21,43,9,21,5,3,0,2,1,0,0,0,45,74,119
7,State,Gujarat,2108,37,29,75,58,189,509,70,659,107,306,56,46,11,5,0,0,545,1612,2157
8,State,Haryana,3520,26,13,88,77,139,370,150,418,473,1166,210,287,74,60,16,3,1176,2394,3570
9,State,Himachal Pradesh,327,4,1,8,4,47,66,27,92,8,70,8,12,1,0,0,0,103,245,348
10,State,Jammu & Kashmir,1153,1,4,17,11,31,22,9,152,17,686,11,178,8,22,0,0,94,1075,1169
11,State,Jharkhand,1402,1,2,1,1,9,26,38,35,329,834,83,38,7,0,0,0,468,936,1404
12,State,Karnataka,2354,33,46,58,64,179,542,98,644,146,370,83,104,22,26,5,2,624,1798,2422
13,State,Kerala,271,8,9,3,3,6,37,5,100,23,43,31,4,2,2,0,1,78,199,277
14,State,Madhya Pradesh,6778,258,275,236,181,719,1148,503,1986,300,933,114,154,33,6,10,0,2173,4683,6856
15,State,Maharashtra,8255,173,194,488,330,1319,1788,599,2259,328,689,174,136,64,23,10,2,3155,5421,8576
16,State,Manipur,179,0,0,2,17,5,11,0,23,42,38,28,10,9,7,0,0,86,106,192
17,State,Meghalaya,212,0,0,4,3,12,12,6,11,71,25,66,8,10,0,0,0,169,59,228
18,State,Mizoram,15,1,0,3,1,2,4,0,0,1,1,3,2,0,0,0,0,10,8,18
19,State,Nagaland,85,0,0,2,5,12,15,3,4,17,7,17,1,5,0,0,0,56,32,88
20,State,Odisha,3236,19,7,71,62,53,303,59,421,318,1556,88,226,22,40,3,0,633,2615,3248
21,State,Punjab,1694,15,7,35,72,65,274,60,431,150,462,81,51,35,13,1,0,442,1310,1752
22,State,Rajasthan,5426,25,44,64,109,165,505,133,666,502,2241,241,559,109,73,18,2,1257,4199,5456
23,State,Sikkim,21,0,0,0,0,0,1,0,3,3,13,2,6,0,0,0,0,5,23,28
24,State,Tamil Nadu,1603,9,15,4,7,7,68,10,283,107,843,112,107,19,21,0,0,268,1344,1612
25,State,Telangana,1044,52,87,51,26,109,110,17,177,58,240,63,33,23,5,7,1,380,679,1059
26,State,Tripura,152,1,0,0,0,15,59,3,18,15,34,7,9,1,0,0,0,42,120,162
27,State,Uttar Pradesh,11999,36,13,100,268,152,1959,217,3188,954,4009,333,611,75,104,11,4,1878,10156,12034
28,State,Uttarakhand,757,10,17,81,59,99,69,82,55,68,89,43,35,26,38,5,0,414,362,776
29,State,West Bengal,6115,22,47,74,147,220,590,227,640,972,1809,617,654,43,53,4,0,2179,3940,6119
TOTAL (STATES),State,TOTAL (STATES),74952,832,909,1645,1653,4072,9576,2627,14098,6533,23607,3468,5484,714,560,91,17,19982,55904,75886
30,UT,A & N Islands,28,1,1,2,1,6,14,0,5,0,1,0,0,0,0,0,0,9,22,31
31,UT,Chandigarh,230,5,3,13,13,37,54,5,54,11,41,2,6,0,0,1,0,74,171,245
32,UT,D&N Haveli,14,0,0,0,0,5,7,0,2,0,0,0,0,0,0,0,0,5,9,14
33,UT,Daman & Diu,27,0,1,7,0,8,3,1,5,0,3,2,1,0,0,0,0,18,13,31
34,UT,Delhi UT,7730,223,188,839,385,1545,1715,800,1627,218,498,88,87,16,19,7,2,3736,4521,8257
35,UT,Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,UT,Puducherry,18,0,0,0,0,1,4,0,1,2,9,1,0,0,0,0,1,4,15,19
TOTAL (UTS),UT,TOTAL (UTS),8047,229,193,861,399,1602,1797,806,1694,231,552,93,94,16,19,8,3,3846,4751,8597
TOTAL ALL INDIA,TOTAL ALL INDIA,TOTAL ALL INDIA,82999,1061,1102,2506,2052,5674,11373,3433,15792,6764,24159,3561,5578,730,579,99,20,23828,60655,84483
